timestamp,price,position,balance,action,mcts_v,nn_v,model,pi
2026-05-04 18:35:45,80319.98,0,10119.1376953125,1,0.19459250569343567,0.17087331414222717,BTC_USDT_1h_v0049.keras,"[0.249999999996875, 0.37499999999531247, 0.37499999999531247]"
2026-05-04 19:00:07,80401.94,1,10118.4326171875,2,0.20154106616973877,0.17364756762981415,BTC_USDT_1h_v0049.keras,"[0.249999999996875, 0.31249999999609374, 0.4374999999945312]"
2026-05-04 20:00:07,80121.04,0,10110.2705078125,1,0.21041357517242432,0.1765051931142807,BTC_USDT_1h_v0049.keras,"[0.249999999996875, 0.4374999999945312, 0.31249999999609374]"
2026-05-04 21:00:07,80013.98,1,10087.13671875,0,0.21326756477355957,0.17713101208209991,BTC_USDT_1h_v0049.keras,"[0.5624999999929687, 0.249999999996875, 0.18749999999765624]"
2026-05-04 22:00:07,79945.28,0,10077.251953125,1,0.21537284553050995,0.18392492830753326,BTC_USDT_1h_v0049.keras,"[0.31249999999609374, 0.37499999999531247, 0.31249999999609374]"
2026-05-04 23:00:07,80292.8,1,10110.26171875,2,0.2161596715450287,0.18802165985107422,BTC_USDT_1h_v0049.keras,"[0.31249999999609374, 0.249999999996875, 0.4374999999945312]"
2026-05-05 00:00:06,80048.61,0,10103.705078125,2,0.2092243880033493,0.19084034860134125,BTC_USDT_1h_v0049.keras,"[0.249999999996875, 0.31249999999609374, 0.4374999999945312]"
2026-05-05 01:00:08,79861.01,0,10103.705078125,2,0.2339794784784317,0.18769019842147827,BTC_USDT_1h_v0049.keras,"[0.34090909090715393, 0.3124999999982245, 0.34659090908893986]"
2026-05-05 02:00:08,80177.38,0,10103.7060546875,1,0.20102667808532715,0.18954496085643768,BTC_USDT_1h_v0049.keras,"[0.249999999996875, 0.4374999999945312, 0.31249999999609374]"
2026-05-05 03:03:14,80331.19,1,10112.7783203125,2,0.1987440586090088,0.1750483512878418,BTC_USDT_1h_v0049.keras,"[0.249999999996875, 0.31249999999609374, 0.4374999999945312]"
2026-05-05 04:05:24,80523.79,0,10108.654296875,2,0.1992783099412918,0.17050181329250336,BTC_USDT_1h_v0049.keras,"[0.249999999996875, 0.31249999999609374, 0.4374999999945312]"
2026-05-05 05:00:08,80903.12,0,10108.6572265625,0,0.2124219685792923,0.18312977254390717,BTC_USDT_1h_v0049.keras,"[0.49999999999375, 0.249999999996875, 0.249999999996875]"
2026-05-05 06:00:16,80885.0,0,10108.6572265625,0,0.24625243246555328,0.18497234582901,BTC_USDT_1h_v0049.keras,"[0.4147727272703706, 0.31818181818001035, 0.26704545454393724]"
2026-05-05 07:00:09,80989.03,0,10108.6572265625,1,0.290291965007782,0.18690145015716553,BTC_USDT_1h_v0049.keras,"[0.3529411764692907, 0.38602941176328665, 0.2610294117637462]"
2026-05-05 08:00:07,80976.0,1,10097.158203125,0,0.23015601933002472,0.19595830142498016,BTC_USDT_1h_v0049.keras,"[0.49999999999375, 0.249999999996875, 0.249999999996875]"
2026-05-05 09:00:07,80844.96,0,1000.0,0,0.2290707677602768,0.202087864279747,BTC_USDT_1h_v0049.keras,"[0.4374999999945312, 0.31249999999609374, 0.249999999996875]"
2026-05-05 10:00:14,80813.61,0,1000.0,0,0.25810927152633667,0.20318171381950378,BTC_USDT_1h_v0049.keras,"[0.4374999999975142, 0.3124999999982245, 0.24999999999857955]"
2026-05-05 11:00:07,80579.31,0,1000.0,0,0.2786107361316681,0.197722390294075,BTC_USDT_1h_v0049.keras,"[0.41544117646906087, 0.31249999999885114, 0.27205882352841154]"
2026-05-05 12:00:07,80830.55,0,10085.498046875,1,0.22246810793876648,0.1939089149236679,BTC_USDT_1h_v0049.keras,"[0.249999999996875, 0.49999999999375, 0.249999999996875]"
2026-05-05 13:00:08,81014.04,1,10098.0283203125,2,0.22108006477355957,0.1836041957139969,BTC_USDT_1h_v0049.keras,"[0.31249999999609374, 0.249999999996875, 0.4374999999945312]"
2026-05-05 14:00:07,81274.78,0,10086.7724609375,1,0.22473271191120148,0.19918176531791687,BTC_USDT_1h_v0049.keras,"[0.249999999996875, 0.5624999999929687, 0.18749999999765624]"
2026-05-05 15:00:07,81306.21,1,10080.7060546875,1,0.2261577546596527,0.19524380564689636,BTC_USDT_1h_v0049.keras,"[0.249999999996875, 0.5624999999929687, 0.18749999999765624]"
2026-05-05 16:00:07,81323.18,1,10082.767578125,0,0.22656483948230743,0.19835367798805237,BTC_USDT_1h_v0049.keras,"[0.4374999999945312, 0.31249999999609374, 0.249999999996875]"
2026-05-05 17:00:07,81574.52,0,10072.884765625,0,0.2385966032743454,0.20475547015666962,BTC_USDT_1h_v0049.keras,"[0.49999999999375, 0.31249999999609374, 0.18749999999765624]"
2026-05-05 18:00:07,81278.8,0,10072.884765625,0,0.2591252624988556,0.19975833594799042,BTC_USDT_1h_v0049.keras,"[0.39772727272501296, 0.3124999999982245, 0.28977272727108083]"
