tick,price,position,balance,action,mcts_value,nn_value,returns,cum_max,drawdown
60,98016.26,0,1000.0,0,0.4888318,0.45206347,0.0,1000.0,0.0
61,97961.56,0,1000.0,0,0.4881675,0.4576267,0.0,1000.0,0.0
62,98166.26,0,1000.0,0,0.45467308,0.47254935,0.0,1000.0,0.0
63,98599.02,0,1000.0,0,0.4553723,0.504808,0.0,1000.0,0.0
64,98362.43,0,1000.0,0,0.45389846,0.49792263,0.0,1000.0,0.0
65,98417.25,0,1000.0,0,0.49246764,0.4789592,0.0,1000.0,0.0
66,98220.5,0,1000.0,0,0.5178578,0.44038585,0.0,1000.0,0.0
67,98213.43,0,1000.0,0,0.5391019,0.4317316,0.0,1000.0,0.0
68,98123.53,0,1000.0,0,0.54977703,0.44350827,0.0,1000.0,0.0
69,98227.48,0,1000.0,0,0.560134,0.50470245,0.0,1000.0,0.0
70,98187.96,0,1000.0,0,0.55520517,0.52305067,0.0,1000.0,0.0
71,98357.46,0,1000.0,0,0.5488548,0.53112185,0.0,1000.0,0.0
72,98358.98,0,1000.0,0,0.53350675,0.5356873,0.0,1000.0,0.0
73,98451.47,0,1000.0,0,0.53908694,0.5423081,0.0,1000.0,0.0
74,98268.77,0,1000.0,0,0.55739146,0.5563206,0.0,1000.0,0.0
75,97861.04,0,1000.0,0,0.56836456,0.5452356,0.0,1000.0,0.0
76,97652.2,0,1000.0,0,0.5588198,0.53557414,0.0,1000.0,0.0
77,97737.48,0,1000.0,0,0.5543922,0.54563266,0.0,1000.0,0.0
78,97641.63,0,1000.0,0,0.53972375,0.5617233,0.0,1000.0,0.0
79,97770.01,0,1000.0,0,0.5364638,0.57014716,0.0,1000.0,0.0
80,97689.96,0,1000.0,0,0.52210385,0.58129984,0.0,1000.0,0.0
81,97855.06,0,1000.0,0,0.5180421,0.5562001,0.0,1000.0,0.0
82,98028.98,0,1000.0,0,0.5293274,0.522404,0.0,1000.0,0.0
83,98035.17,0,1000.0,0,0.558422,0.5020539,0.0,1000.0,0.0
84,97731.08,0,1000.0,0,0.5581325,0.49383926,0.0,1000.0,0.0
85,97918.91,0,1000.0,0,0.5536923,0.50767195,0.0,1000.0,0.0
86,98079.63,0,1000.0,0,0.5307497,0.5296424,0.0,1000.0,0.0
87,98275.71,0,1000.0,0,0.5056367,0.54756653,0.0,1000.0,0.0
88,98496.52,0,1000.0,0,0.4979977,0.5543618,0.0,1000.0,0.0
89,98695.21,0,1000.0,0,0.52530766,0.5326381,0.0,1000.0,0.0
90,98363.61,0,1000.0,0,0.5351245,0.5024273,0.0,1000.0,0.0
91,98217.23,0,1000.0,0,0.52144253,0.48143533,0.0,1000.0,0.0
92,98759.43,0,1000.0,0,0.5272577,0.48967448,0.0,1000.0,0.0
93,98815.39,0,1000.0,0,0.51628584,0.49350807,0.0,1000.0,0.0
94,99037.57,0,1000.0,0,0.48964235,0.5004087,0.0,1000.0,0.0
95,99466.09,0,1000.0,0,0.47016424,0.5018547,0.0,1000.0,0.0
96,99600.0,0,1000.0,0,0.46807364,0.47237608,0.0,1000.0,0.0
97,99512.21,0,1000.0,0,0.47613886,0.46872815,0.0,1000.0,0.0
98,99318.7,0,1000.0,0,0.51422745,0.471219,0.0,1000.0,0.0
99,99043.49,0,1000.0,0,0.5451241,0.4556424,0.0,1000.0,0.0
100,98999.99,0,1000.0,0,0.58131295,0.44880205,0.0,1000.0,0.0
101,98767.96,0,1000.0,2,0.6325837,0.73249674,0.0,1000.0,0.0
102,99259.99,2,1009.458370811749,0,0.68074304,0.53777915,0.00945837081174905,1009.458370811749,0.0
103,99157.12,0,1008.9536416263431,0,0.7086899,0.5602155,-0.0004999999999999449,1009.458370811749,-0.0004999999999999616
104,99492.51,0,1008.9536416263431,2,0.7480588,0.79052126,0.0,1009.458370811749,-0.0004999999999999616
105,100737.03,2,1033.6779012115928,0,0.7013871,0.681215,0.02450485192302443,1033.6779012115928,0.0
106,102147.95,0,1033.1610622609871,0,0.693679,0.7244956,-0.0004999999999999449,1033.6779012115928,-0.0004999999999998954
107,102158.67,0,1033.1610622609871,0,0.69798225,0.73330605,0.0,1033.6779012115928,-0.0004999999999998954
108,101831.95,0,1033.1610622609871,0,0.6919738,0.7239933,0.0,1033.6779012115928,-0.0004999999999998954
109,101738.8,0,1033.1610622609871,0,0.6764596,0.7253746,0.0,1033.6779012115928,-0.0004999999999998954
110,101817.22,0,1033.1610622609871,0,0.6691215,0.71785605,0.0,1033.6779012115928,-0.0004999999999998954
111,102127.38,0,1033.1610622609871,0,0.6802309,0.69628686,0.0,1033.6779012115928,-0.0004999999999998954
112,101611.92,0,1033.1610622609871,0,0.659874,0.6864412,0.0,1033.6779012115928,-0.0004999999999998954
113,102011.98,0,1033.1610622609871,0,0.6450572,0.6758268,0.0,1033.6779012115928,-0.0004999999999998954
114,102235.6,0,1033.1610622609871,0,0.6413793,0.66288286,0.0,1033.6779012115928,-0.0004999999999998954
115,102042.46,0,1033.1610622609871,0,0.6385018,0.6588749,0.0,1033.6779012115928,-0.0004999999999998954
116,101915.66,0,1033.1610622609871,0,0.6373911,0.65891606,0.0,1033.6779012115928,-0.0004999999999998954
117,101677.66,0,1033.1610622609871,0,0.6302409,0.66247725,0.0,1033.6779012115928,-0.0004999999999998954
118,101708.08,0,1033.1610622609871,0,0.6227861,0.6633308,0.0,1033.6779012115928,-0.0004999999999998954
119,101667.02,0,1033.1610622609871,0,0.614286,0.65185267,0.0,1033.6779012115928,-0.0004999999999998954
120,101743.47,0,1033.1610622609871,0,0.59769225,0.6351885,0.0,1033.6779012115928,-0.0004999999999998954
121,101820.53,0,1033.1610622609871,0,0.5853722,0.6178207,0.0,1033.6779012115928,-0.0004999999999998954
122,101664.81,0,1033.1610622609871,0,0.53712463,0.6117296,0.0,1033.6779012115928,-0.0004999999999998954
123,101905.08,0,1033.1610622609871,0,0.5125079,0.6082241,0.0,1033.6779012115928,-0.0004999999999998954
124,101723.19,0,1033.1610622609871,0,0.5023731,0.59633684,0.0,1033.6779012115928,-0.0004999999999998954
125,101406.78,0,1033.1610622609871,0,0.49898538,0.58537036,0.0,1033.6779012115928,-0.0004999999999998954
126,100830.86,0,1033.1610622609871,0,0.45691487,0.5563915,0.0,1033.6779012115928,-0.0004999999999998954
127,100750.89,0,1033.1610622609871,0,0.4391352,0.52873135,0.0,1033.6779012115928,-0.0004999999999998954
128,100636.8,0,1033.1610622609871,0,0.4829865,0.5093723,0.0,1033.6779012115928,-0.0004999999999998954
129,99979.69,0,1033.1610622609871,0,0.54483026,0.48005238,0.0,1033.6779012115928,-0.0004999999999998954
130,97952.26,0,1033.1610622609871,0,0.55348206,0.5092633,0.0,1033.6779012115928,-0.0004999999999998954
131,97733.58,0,1033.1610622609871,0,0.57719034,0.52254635,0.0,1033.6779012115928,-0.0004999999999998954
132,97277.31,0,1033.1610622609871,0,0.6051412,0.54577553,0.0,1033.6779012115928,-0.0004999999999998954
133,96750.86,0,1033.1610622609871,0,0.6237507,0.5691164,0.0,1033.6779012115928,-0.0004999999999998954
134,96451.98,0,1033.1610622609871,0,0.6392305,0.59889597,0.0,1033.6779012115928,-0.0004999999999998954
135,96533.35,0,1033.1610622609871,0,0.64871633,0.6143075,0.0,1033.6779012115928,-0.0004999999999998954
136,96501.22,0,1033.1610622609871,2,0.6754514,0.79718566,0.0,1033.6779012115928,-0.0004999999999998954
137,97164.0,2,1046.8290922373903,0,0.6725547,0.65124047,0.013229331297573088,1046.8290922373903,0.0
138,96954.61,0,1046.3056776912717,2,0.6815577,0.7973868,-0.0004999999999999449,1046.8290922373903,-0.0004999999999999108
139,97268.49,2,1052.5537391123914,0,0.6743974,0.66287446,0.005971544983781829,1052.5537391123914,0.0
140,96907.15,0,1052.0274622428353,0,0.66117185,0.6756137,-0.0004999999999999449,1052.5537391123914,-0.000499999999999922
141,96878.14,0,1052.0274622428353,0,0.6579621,0.6961318,0.0,1052.5537391123914,-0.000499999999999922
142,96525.2,0,1052.0274622428353,0,0.6241565,0.6994275,0.0,1052.5537391123914,-0.000499999999999922
143,96274.81,0,1052.0274622428353,0,0.6073638,0.6964109,0.0,1052.5537391123914,-0.000499999999999922
144,96492.01,0,1052.0274622428353,0,0.6288324,0.68789047,0.0,1052.5537391123914,-0.000499999999999922
145,95284.31,0,1052.0274622428353,0,0.59895825,0.6608598,0.0,1052.5537391123914,-0.000499999999999922
146,95657.09,0,1052.0274622428353,0,0.57930285,0.63590276,0.0,1052.5537391123914,-0.000499999999999922
147,95945.99,0,1052.0274622428353,0,0.56590545,0.61084855,0.0,1052.5537391123914,-0.000499999999999922
148,95432.82,0,1052.0274622428353,0,0.5235913,0.5961205,0.0,1052.5537391123914,-0.000499999999999922
149,95961.02,0,1052.0274622428353,0,0.54893667,0.6014015,0.0,1052.5537391123914,-0.000499999999999922
150,95134.92,0,1052.0274622428353,0,0.55528176,0.5934014,0.0,1052.5537391123914,-0.000499999999999922
151,94888.01,0,1052.0274622428353,0,0.5334902,0.56419075,0.0,1052.5537391123914,-0.000499999999999922
152,95384.0,0,1052.0274622428353,0,0.51705486,0.5418675,0.0,1052.5537391123914,-0.000499999999999922
153,95288.01,0,1052.0274622428353,0,0.51478523,0.526539,0.0,1052.5537391123914,-0.000499999999999922
154,95493.77,0,1052.0274622428353,0,0.56134176,0.49991107,0.0,1052.5537391123914,-0.000499999999999922
155,94787.87,0,1052.0274622428353,0,0.59672344,0.50797635,0.0,1052.5537391123914,-0.000499999999999922
156,94030.82,0,1052.0274622428353,0,0.59334177,0.5269764,0.0,1052.5537391123914,-0.000499999999999922
157,94242.61,0,1052.0274622428353,0,0.60770726,0.5580631,0.0,1052.5537391123914,-0.000499999999999922
158,94243.89,0,1052.0274622428353,0,0.6411802,0.581115,0.0,1052.5537391123914,-0.000499999999999922
159,93980.0,0,1052.0274622428353,2,0.6534414,0.7892932,0.0,1052.5537391123914,-0.000499999999999922
160,94468.97,2,1062.4431949104965,0,0.6261732,0.6381303,0.009900628112364807,1062.4431949104965,0.0
161,95290.93,0,1061.9119733130412,0,0.6364212,0.62917626,-0.0004999999999999449,1062.4431949104965,-0.0004999999999999684
162,95060.61,0,1061.9119733130412,0,0.6360336,0.62110776,0.0,1062.4431949104965,-0.0004999999999999684
163,95135.3,0,1061.9119733130412,0,0.64024776,0.60883397,0.0,1062.4431949104965,-0.0004999999999999684
164,94983.82,0,1061.9119733130412,0,0.6525509,0.60383284,0.0,1062.4431949104965,-0.0004999999999999684
165,94776.99,0,1061.9119733130412,0,0.6708673,0.63799757,0.0,1062.4431949104965,-0.0004999999999999684
166,94027.9,0,1061.9119733130412,0,0.6352838,0.6596571,0.0,1062.4431949104965,-0.0004999999999999684
167,94424.24,0,1061.9119733130412,0,0.6030513,0.6844177,0.0,1062.4431949104965,-0.0004999999999999684
168,94472.58,0,1061.9119733130412,0,0.6108349,0.684828,0.0,1062.4431949104965,-0.0004999999999999684
169,94095.03,0,1061.9119733130412,0,0.65114814,0.6706891,0.0,1062.4431949104965,-0.0004999999999999684
170,93221.59,0,1061.9119733130412,0,0.6624124,0.6481524,0.0,1062.4431949104965,-0.0004999999999999684
171,93030.87,0,1061.9119733130412,0,0.65167946,0.6207062,0.0,1062.4431949104965,-0.0004999999999999684
172,93516.62,0,1061.9119733130412,0,0.65215886,0.6153308,0.0,1062.4431949104965,-0.0004999999999999684
173,93462.43,0,1061.9119733130412,0,0.6227657,0.62767166,0.0,1062.4431949104965,-0.0004999999999999684
174,93465.23,0,1061.9119733130412,0,0.6502921,0.65410846,0.0,1062.4431949104965,-0.0004999999999999684
175,93421.94,0,1061.9119733130412,0,0.72330797,0.6832727,0.0,1062.4431949104965,-0.0004999999999999684
176,91986.42,0,1061.9119733130412,0,0.6971702,0.6784202,0.0,1062.4431949104965,-0.0004999999999999684
177,92863.8,0,1061.9119733130412,2,0.7160191,0.81494427,0.0,1062.4431949104965,-0.0004999999999999684
178,94244.02,2,1092.931294350031,0,0.70449406,0.72835046,0.02921082143957099,1092.931294350031,0.0
179,94250.95,0,1092.384828702856,0,0.7311122,0.73831135,-0.0004999999999999449,1092.931294350031,-0.0004999999999999446
180,92693.11,0,1092.384828702856,0,0.71383977,0.7593372,0.0,1092.931294350031,-0.0004999999999999446
181,93020.11,0,1092.384828702856,0,0.7532375,0.7680919,0.0,1092.931294350031,-0.0004999999999999446
182,91909.59,0,1092.384828702856,0,0.7620037,0.766941,0.0,1092.931294350031,-0.0004999999999999446
183,91903.22,0,1092.384828702856,0,0.7644336,0.7523728,0.0,1092.931294350031,-0.0004999999999999446
184,92108.84,0,1092.384828702856,0,0.7677953,0.74906945,0.0,1092.931294350031,-0.0004999999999999446
185,92456.32,0,1092.384828702856,0,0.78021824,0.7477348,0.0,1092.931294350031,-0.0004999999999999446
186,92552.49,0,1092.384828702856,0,0.7872112,0.740427,0.0,1092.931294350031,-0.0004999999999999446
187,92775.84,0,1092.384828702856,0,0.7907756,0.7432192,0.0,1092.931294350031,-0.0004999999999999446
188,93102.52,0,1092.384828702856,0,0.7925524,0.75191635,0.0,1092.931294350031,-0.0004999999999999446
189,93364.36,0,1092.384828702856,0,0.79058397,0.75880164,0.0,1092.931294350031,-0.0004999999999999446
190,93696.13,0,1092.384828702856,0,0.7932188,0.7640282,0.0,1092.931294350031,-0.0004999999999999446
191,93837.69,0,1092.384828702856,0,0.792755,0.77561194,0.0,1092.931294350031,-0.0004999999999999446
192,93956.83,0,1092.384828702856,0,0.7864406,0.7867121,0.0,1092.931294350031,-0.0004999999999999446
193,94252.83,0,1092.384828702856,0,0.78263444,0.7954908,0.0,1092.931294350031,-0.0004999999999999446
194,94492.63,0,1092.384828702856,0,0.78155005,0.7883104,0.0,1092.931294350031,-0.0004999999999999446
195,94680.01,0,1092.384828702856,0,0.77212834,0.78335637,0.0,1092.931294350031,-0.0004999999999999446
196,94793.08,0,1092.384828702856,2,0.77352715,0.8667828,0.0,1092.931294350031,-0.0004999999999999446
197,95215.73,2,1101.5749081688427,0,0.74538654,0.7889006,0.008412858934428113,1101.5749081688427,0.0
198,95073.95,0,1101.0241207147583,0,0.7479293,0.7923987,-0.000500000000000056,1101.5749081688427,-0.0005000000000000322
199,95023.44,0,1101.0241207147583,0,0.7821423,0.7972585,0.0,1101.5749081688427,-0.0005000000000000322
200,93557.23,0,1101.0241207147583,0,0.77386373,0.78494334,0.0,1101.5749081688427,-0.0005000000000000322
201,94115.63,0,1101.0241207147583,0,0.81912696,0.7692097,0.0,1101.5749081688427,-0.0005000000000000322
202,93730.92,0,1101.0241207147583,0,0.8304606,0.75889647,0.0,1101.5749081688427,-0.0005000000000000322
203,93645.05,0,1101.0241207147583,2,0.87694263,0.9002885,0.0,1101.5749081688427,-0.0005000000000000322
204,95793.05,2,1150.9582271449601,0,0.8835712,0.8591846,0.045352418253821636,1150.9582271449601,0.0
205,94861.62,0,1150.3827480313876,0,0.8774916,0.8712028,-0.000500000000000056,1150.9582271449601,-0.0005000000000000655
206,95327.06,0,1150.3827480313876,0,0.88819164,0.87813836,0.0,1150.9582271449601,-0.0005000000000000655
207,94672.05,0,1150.3827480313876,0,0.8871545,0.88417643,0.0,1150.9582271449601,-0.0005000000000000655
208,94613.26,0,1150.3827480313876,0,0.8818329,0.8878184,0.0,1150.9582271449601,-0.0005000000000000655
209,94767.7,0,1150.3827480313876,0,0.8775986,0.89189523,0.0,1150.9582271449601,-0.0005000000000000655
210,94726.11,0,1150.3827480313876,0,0.874963,0.8977616,0.0,1150.9582271449601,-0.0005000000000000655
211,94600.69,0,1150.3827480313876,0,0.8720759,0.8984594,0.0,1150.9582271449601,-0.0005000000000000655
212,94424.26,0,1150.3827480313876,0,0.8671645,0.89174944,0.0,1150.9582271449601,-0.0005000000000000655
213,94424.24,0,1150.3827480313876,0,0.8671148,0.88286597,0.0,1150.9582271449601,-0.0005000000000000655
214,94206.95,0,1150.3827480313876,0,0.86412597,0.87821585,0.0,1150.9582271449601,-0.0005000000000000655
215,94063.29,0,1150.3827480313876,0,0.8535136,0.87786615,0.0,1150.9582271449601,-0.0005000000000000655
216,94366.69,0,1150.3827480313876,0,0.8489095,0.88077044,0.0,1150.9582271449601,-0.0005000000000000655
217,94216.25,0,1150.3827480313876,0,0.847114,0.881142,0.0,1150.9582271449601,-0.0005000000000000655
218,94246.36,0,1150.3827480313876,0,0.8499325,0.8796329,0.0,1150.9582271449601,-0.0005000000000000655
219,94074.79,0,1150.3827480313876,0,0.8493248,0.8707699,0.0,1150.9582271449601,-0.0005000000000000655
220,94329.45,0,1150.3827480313876,0,0.84802794,0.858822,0.0,1150.9582271449601,-0.0005000000000000655
221,94488.86,0,1150.3827480313876,0,0.84976405,0.8428681,0.0,1150.9582271449601,-0.0005000000000000655
222,94625.65,0,1150.3827480313876,0,0.8590211,0.8312472,0.0,1150.9582271449601,-0.0005000000000000655
223,94550.01,0,1150.3827480313876,0,0.86703163,0.8244827,0.0,1150.9582271449601,-0.0005000000000000655
224,94400.01,0,1150.3827480313876,0,0.86938494,0.8262259,0.0,1150.9582271449601,-0.0005000000000000655
225,94620.0,0,1150.3827480313876,0,0.87574565,0.83816534,0.0,1150.9582271449601,-0.0005000000000000655
226,94410.26,0,1150.3827480313876,0,0.87943697,0.84442484,0.0,1150.9582271449601,-0.0005000000000000655
227,94448.14,0,1150.3827480313876,0,0.8863258,0.8488704,0.0,1150.9582271449601,-0.0005000000000000655
228,94151.52,0,1150.3827480313876,0,0.8883499,0.8621408,0.0,1150.9582271449601,-0.0005000000000000655
229,94275.79,0,1150.3827480313876,0,0.8915646,0.8783221,0.0,1150.9582271449601,-0.0005000000000000655
230,94249.26,0,1150.3827480313876,0,0.8860072,0.8872087,0.0,1150.9582271449601,-0.0005000000000000655
231,94586.11,0,1150.3827480313876,0,0.88194436,0.88998264,0.0,1150.9582271449601,-0.0005000000000000655
232,94940.76,0,1150.3827480313876,0,0.88444155,0.88429034,0.0,1150.9582271449601,-0.0005000000000000655
233,94593.8,0,1150.3827480313876,0,0.88587457,0.8836589,0.0,1150.9582271449601,-0.0005000000000000655
234,94599.99,0,1150.3827480313876,0,0.88863164,0.8805339,0.0,1150.9582271449601,-0.0005000000000000655
235,94452.07,0,1150.3827480313876,0,0.8883875,0.8850888,0.0,1150.9582271449601,-0.0005000000000000655
236,94580.0,0,1150.3827480313876,0,0.8895901,0.8868578,0.0,1150.9582271449601,-0.0005000000000000655
237,94625.25,0,1150.3827480313876,0,0.8914887,0.88204557,0.0,1150.9582271449601,-0.0005000000000000655
238,94622.4,0,1150.3827480313876,0,0.8927896,0.8720205,0.0,1150.9582271449601,-0.0005000000000000655
239,94587.99,0,1150.3827480313876,0,0.89376503,0.87219447,0.0,1150.9582271449601,-0.0005000000000000655
240,94571.43,0,1150.3827480313876,0,0.8948494,0.8780537,0.0,1150.9582271449601,-0.0005000000000000655
241,94381.78,0,1150.3827480313876,0,0.8931218,0.88429254,0.0,1150.9582271449601,-0.0005000000000000655
242,94323.85,0,1150.3827480313876,0,0.8949387,0.89656717,0.0,1150.9582271449601,-0.0005000000000000655
243,94170.01,0,1150.3827480313876,0,0.8991688,0.8988466,0.0,1150.9582271449601,-0.0005000000000000655
244,93906.22,0,1150.3827480313876,0,0.8984964,0.89429766,0.0,1150.9582271449601,-0.0005000000000000655
245,94015.16,0,1150.3827480313876,0,0.89519167,0.8924934,0.0,1150.9582271449601,-0.0005000000000000655
246,94255.1,0,1150.3827480313876,0,0.89625764,0.8927906,0.0,1150.9582271449601,-0.0005000000000000655
247,94328.2,0,1150.3827480313876,2,0.89873815,0.92585087,0.0,1150.9582271449601,-0.0005000000000000655
248,94663.78,2,1157.9886185214398,0,0.8939345,0.9075346,0.006611599924518874,1157.9886185214398,0.0
249,94811.0,0,1157.409624212179,0,0.8865864,0.90754116,-0.0004999999999999449,1157.9886185214398,-0.0004999999999999648
250,95071.9,0,1157.409624212179,0,0.8794876,0.9006911,0.0,1157.9886185214398,-0.0004999999999999648
251,95046.76,0,1157.409624212179,0,0.8706065,0.8988906,0.0,1157.9886185214398,-0.0004999999999999648
252,95139.45,0,1157.409624212179,0,0.8669913,0.897451,0.0,1157.9886185214398,-0.0004999999999999648
253,94992.64,0,1157.409624212179,0,0.86350614,0.89726776,0.0,1157.9886185214398,-0.0004999999999999648
254,94650.26,0,1157.409624212179,0,0.855111,0.89429706,0.0,1157.9886185214398,-0.0004999999999999648
255,94687.69,0,1157.409624212179,0,0.86509085,0.8907961,0.0,1157.9886185214398,-0.0004999999999999648
256,94352.7,0,1157.409624212179,0,0.8745617,0.8827073,0.0,1157.9886185214398,-0.0004999999999999648
257,93962.91,0,1157.409624212179,0,0.8575628,0.8756219,0.0,1157.9886185214398,-0.0004999999999999648
258,94545.06,0,1157.409624212179,0,0.8394567,0.86947125,0.0,1157.9886185214398,-0.0004999999999999648
259,95325.43,0,1157.409624212179,0,0.8627415,0.8595296,0.0,1157.9886185214398,-0.0004999999999999648
260,94218.01,0,1157.409624212179,0,0.8683761,0.85317266,0.0,1157.9886185214398,-0.0004999999999999648
