tick,price,position,balance,action,mcts_value,nn_value,returns,cum_max,drawdown
60,68330.0234375,0,1000.0,0,0.5468158721923828,0.5468158721923828,0.0,1000.0,0.0
61,67979.6328125,0,999.95,0,0.5316146016120911,0.5316146016120911,-4.999999999999449e-05,1000.0,-4.999999999995453e-05
62,67734.8125,0,999.9000025,0,0.5402017831802368,0.5402017831802368,-4.999999999999449e-05,1000.0,-9.999749999997221e-05
63,67474.9375,0,999.850007499875,0,0.5481067299842834,0.5481067299842834,-4.999999999999449e-05,1000.0,-0.00014999250012499488
64,67328.0078125,0,999.8000149995,0,0.5510752201080322,0.5510752201080322,-4.999999999999449e-05,1000.0,-0.00019998500049996437
65,67604.0390625,0,999.7500249987501,0,0.5459766983985901,0.5459766983985901,-4.999999999999449e-05,1000.0,-0.00024997500124993623
66,67518.5703125,0,999.7000374975001,0,0.5382378697395325,0.5382378697395325,-4.999999999999449e-05,1000.0,-0.00029996250249985225
67,67724.8125,0,999.6500524956252,0,0.5353302955627441,0.5353302955627441,-4.999999999999449e-05,1000.0,-0.00034994750437476795
68,67565.5625,0,999.6000699930005,0,0.5419789552688599,0.5419789552688599,-4.999999999999449e-05,1000.0,-0.00039993000699951154
69,67419.859375,0,999.5500899895009,0,0.5499172806739807,0.5499172806739807,-4.999999999999449e-05,1000.0,-0.0004499100104991385
70,67820.3984375,0,999.5001124850014,0,0.5456699132919312,0.5456699132919312,-4.999999999999449e-05,1000.0,-0.0004998875149985906
71,67739.9921875,0,999.4501374793772,0,0.550247073173523,0.550247073173523,-4.999999999999449e-05,1000.0,-0.0005498625206228099
72,67749.5390625,0,999.4001649725033,0,0.545362114906311,0.545362114906311,-4.999999999999449e-05,1000.0,-0.0005998350274967379
73,67589.9921875,0,999.3501949642547,0,0.5400720834732056,0.5400720834732056,-4.999999999999449e-05,1000.0,-0.0006498050357453167
74,67365.6171875,0,999.3002274545065,0,0.5393648743629456,0.5393648743629456,-4.999999999999449e-05,1000.0,-0.000699772545493488
75,66470.0078125,0,999.2502624431338,0,0.5445094704627991,0.5445094704627991,-4.999999999999449e-05,1000.0,-0.0007497375568661937
76,66976.0,0,999.2002999300116,0,0.5470328330993652,0.5470328330993652,-4.999999999999449e-05,1000.0,-0.0007997000699883756
77,66920.0,0,999.1503399150151,0,0.5566105246543884,0.5566105246543884,-4.999999999999449e-05,1000.0,-0.0008496600849848619
78,66862.9921875,0,999.1003823980194,0,0.5622252225875854,0.5622252225875854,-4.999999999999449e-05,1000.0,-0.0008996176019805944
79,66604.0078125,0,999.0504273788995,0,0.5595874190330505,0.5595874190330505,-4.999999999999449e-05,1000.0,-0.0009495726211005149
80,66712.9765625,0,999.0004748575305,0,0.5565850138664246,0.5565850138664246,-4.999999999999449e-05,1000.0,-0.0009995251424694516
81,66969.9921875,0,998.9505248337877,0,0.5511534214019775,0.5511534214019775,-4.999999999999449e-05,1000.0,-0.0010494751662123462
82,66896.0,0,998.900577307546,0,0.5435839891433716,0.5435839891433716,-4.999999999999449e-05,1000.0,-0.0010994226924540271
83,66773.0078125,0,998.8506322786806,0,0.5335105061531067,0.5335105061531067,-4.999999999999449e-05,1000.0,-0.001149367721319436
84,66727.7265625,0,998.8006897470666,0,0.5282415747642517,0.5282415747642517,-4.999999999999449e-05,1000.0,-0.001199310252933401
85,66806.171875,0,998.7507497125792,0,0.5302382111549377,0.5302382111549377,-4.999999999999449e-05,1000.0,-0.0012492502874207503
86,66952.0,0,998.7008121750936,0,0.5337069630622864,0.5337069630622864,-4.999999999999449e-05,1000.0,-0.0012991878249064258
87,66744.0,0,998.6508771344849,0,0.5277417898178101,0.5277417898178101,-4.999999999999449e-05,1000.0,-0.0013491228655151417
88,66717.390625,0,998.6009445906282,0,0.5186272263526917,0.5186272263526917,-4.999999999999449e-05,1000.0,-0.0013990554093718402
89,67052.4921875,0,998.5510145433987,0,0.5217029452323914,0.5217029452323914,-4.999999999999449e-05,1000.0,-0.001448985456601349
90,66962.40625,0,998.5010869926715,0,0.5219518542289734,0.5219518542289734,-4.999999999999449e-05,1000.0,-0.001498913007328497
91,66904.9765625,0,998.4511619383219,0,0.5365022420883179,0.5365022420883179,-4.999999999999449e-05,1000.0,-0.0015488380616781115
92,67152.0390625,0,998.401239380225,0,0.5527607202529907,0.5527607202529907,-4.999999999999449e-05,1000.0,-0.001598760619775021
93,66920.0078125,0,998.351319318256,0,0.5604931116104126,0.5604931116104126,-4.999999999999449e-05,1000.0,-0.0016486806817440538
94,66873.140625,0,998.3014017522901,0,0.5591356754302979,0.5591356754302979,-4.999999999999449e-05,1000.0,-0.0016985982477099241
95,67036.0,0,998.2514866822024,0,0.559210479259491,0.559210479259491,-4.999999999999449e-05,1000.0,-0.001748513317797574
96,67083.296875,0,998.2015741078683,0,0.5608953237533569,0.5608953237533569,-4.999999999999449e-05,1000.0,-0.0017984258921317179
97,67070.5,0,998.1516640291629,0,0.564010739326477,0.564010739326477,-4.999999999999449e-05,1000.0,-0.0018483359708370698
98,66982.9765625,0,998.1017564459614,0,0.5706852674484253,0.5706852674484253,-4.999999999999449e-05,1000.0,-0.0018982435540385722
99,66392.0,0,998.0518513581392,0,0.5747900605201721,0.5747900605201721,-4.999999999999449e-05,1000.0,-0.0019481486418608256
100,65293.3984375,0,998.0019487655712,0,0.5735299587249756,0.5735299587249756,-4.999999999999449e-05,1000.0,-0.001998051234428772
101,65416.01171875,0,997.952048668133,0,0.5662952065467834,0.5662952065467834,-4.999999999999449e-05,1000.0,-0.0020479513318670114
102,65524.859375,0,997.9021510656996,0,0.5640904307365417,0.5640904307365417,-4.999999999999449e-05,1000.0,-0.002097848934300373
103,65520.01953125,0,997.8522559581463,0,0.5604177117347717,0.5604177117347717,-4.999999999999449e-05,1000.0,-0.002147744041853684
104,65766.40625,0,997.8023633453485,0,0.5621291399002075,0.5621291399002075,-4.999999999999449e-05,1000.0,-0.0021976366546515463
105,66196.0078125,0,997.7524732271812,0,0.5684554576873779,0.5684554576873779,-4.999999999999449e-05,1000.0,-0.0022475267728187874
106,66014.0078125,0,997.7025856035199,0,0.5715041160583496,0.5715041160583496,-4.999999999999449e-05,1000.0,-0.0022974143964801215
107,66043.9921875,0,997.6527004742397,0,0.5640762448310852,0.5640762448310852,-4.999999999999449e-05,1000.0,-0.002347299525760263
108,66185.6171875,0,997.6028178392161,0,0.5639219284057617,0.5639219284057617,-4.999999999999449e-05,1000.0,-0.0023971821607839273
109,66076.0078125,0,997.5529376983242,0,0.550826370716095,0.550826370716095,-4.999999999999449e-05,1000.0,-0.0024470623016758283
110,66215.3515625,0,997.5030600514392,0,0.5538461804389954,0.5538461804389954,-4.999999999999449e-05,1000.0,-0.002496939948560794
111,66267.8671875,0,997.4531848984367,0,0.5507529973983765,0.5507529973983765,-4.999999999999449e-05,1000.0,-0.002546815101563311
112,66246.8515625,0,997.4033122391918,0,0.5417588353157043,0.5417588353157043,-4.999999999999449e-05,1000.0,-0.002596687760808209
113,66231.8203125,0,997.3534420735798,0,0.5498455762863159,0.5498455762863159,-4.999999999999449e-05,1000.0,-0.0026465579264202004
